shipment_id,exporter_name,importer_name,exporter_country,importer_country,country,hs_code,value_usd,ship_date
S00000068,EXPORTER_01299,IMPORTER_01173,BR,MX,BR,030402,23013.23,2023-11-25
S00000069,EXPORTER_01394,IMPORTER_02822,DE,IT,DE,410100,24292.58,2023-10-10
S00000070,EXPORTER_00142,IMPORTER_03586,BR,CN,BR,100202,38639.1,2024-05-25
S00000071,EXPORTER_02636,IMPORTER_03254,ES,BR,ES,120202,54221.56,2024-06-13
S00000072,EXPORTER_02698,IMPORTER_00087,AE,DE,AE,400401,17163.89,2024-12-12
S00000073,EXPORTER_02196,IMPORTER_01572,MX,FR,MX,360400,44156.72,2024-09-19
S00000074,EXPORTER_02535,IMPORTER_01671,ES,AE,ES,490401,53381.34,2024-02-05
S00000075,EXPORTER_01551,IMPORTER_03057,VN,NL,VN,060100,23641.11,2023-05-13
S00000076,EXPORTER_01031,IMPORTER_02635,ES,CA,ES,490300,47232.24,2023-04-19
S00000077,EXPORTER_00412,IMPORTER_02550,NL,KR,NL,240302,61161.53,2023-05-13
S00000078,EXPORTER_02096,IMPORTER_00498,KR,IL,KR,270200,63000.25,2023-12-22
S00000079,EXPORTER_02740,IMPORTER_01778,IT,US,IT,210301,8492.88,2024-02-02
S00000080,EXPORTER_02555,IMPORTER_02104,AE,US,AE,070402,5722.21,2024-08-07
S00000081,EXPORTER_00961,IMPORTER_03170,KR,GB,KR,480400,6201.57,2023-01-28
S00000082,EXPORTER_03012,IMPORTER_03877,CN,SE,CN,040001,52686.07,2024-06-18
S00000083,EXPORTER_02521,IMPORTER_00110,ES,BR,ES,110201,55607.96,2023-12-18
S00000084,EXPORTER_01013,IMPORTER_01219,SE,MX,SE,240200,82665.57,2024-09-17
S00000085,EXPORTER_01618,IMPORTER_03315,BR,NL,BR,030002,48022.37,2024-02-10
S00000086,EXPORTER_03729,IMPORTER_00411,SG,SG,SG,280100,20737.64,2024-10-10
S00000087,EXPORTER_00295,IMPORTER_00957,US,IL,US,130201,36352.11,2024-08-31
S00000088,EXPORTER_02410,IMPORTER_01395,CA,AE,CA,130001,6371.36,2024-07-02
S00000089,EXPORTER_02614,IMPORTER_01075,BR,AE,BR,020401,57632.15,2024-08-04
S00000090,EXPORTER_00912,IMPORTER_02151,TR,VN,TR,080202,31588.58,2023-01-14
S00000091,EXPORTER_03192,IMPORTER_00952,IL,SE,IL,190001,52335.1,2023-10-17
S00000092,EXPORTER_03439,IMPORTER_01796,NL,IL,NL,470200,2481.86,2024-11-17
S00000093,EXPORTER_02987,IMPORTER_01288,AE,VN,AE,410302,49905.62,2023-02-06
S00000094,EXPORTER_03425,IMPORTER_00962,TR,IT,TR,130302,43243.47,2023-10-10
S00000095,EXPORTER_01219,IMPORTER_02359,NL,TR,NL,370102,77478.37,2024-02-10
S00000096,EXPORTER_02213,IMPORTER_01908,ES,IT,ES,360402,37603.54,2023-02-02
S00000097,EXPORTER_00596,IMPORTER_01393,JP,SE,JP,270300,31009.44,2024-07-28
S00000098,EXPORTER_03835,IMPORTER_01007,GB,IN,GB,190001,15357.29,2024-03-30
S00000099,EXPORTER_03730,IMPORTER_00897,BR,JP,BR,340401,28152.35,2024-10-06
S00000100,EXPORTER_00138,IMPORTER_02293,JP,FR,JP,480001,63074.63,2023-08-24
S00000101,EXPORTER_00789,IMPORTER_02072,SG,ES,SG,450201,37143.81,2023-04-08
S00000102,EXPORTER_03571,IMPORTER_03481,CN,US,CN,100201,61282.96,2024-08-05
S00000103,EXPORTER_02986,IMPORTER_00046,IN,IT,IN,340102,47076.81,2023-02-21
S00000104,EXPORTER_00820,IMPORTER_00278,IL,BR,IL,350002,12012.14,2024-07-04
S00000105,EXPORTER_02204,IMPORTER_03902,CA,BR,CA,370401,74830.81,2024-04-14
S00000106,EXPORTER_01051,IMPORTER_03841,JP,AE,JP,200201,10401.08,2023-02-11
S00000107,EXPORTER_00132,IMPORTER_03888,FR,CA,FR,190401,7732.95,2024-11-16
S00000108,EXPORTER_00517,IMPORTER_00931,KR,NL,KR,070300,47763.78,2024-01-07
S00000109,EXPORTER_02955,IMPORTER_02563,CA,DE,CA,120200,56646.2,2024-06-18
S00000110,EXPORTER_01675,IMPORTER_01030,SG,US,SG,300102,62434.5,2023-07-17
S00000111,EXPORTER_03568,IMPORTER_03730,CA,TR,CA,210402,61978.54,2023-09-28
S00000112,EXPORTER_03710,IMPORTER_03730,VN,JP,VN,430102,50298.07,2024-06-21
S00000113,EXPORTER_01056,IMPORTER_03524,NL,BR,NL,350202,47251.51,2024-05-22
S00000114,EXPORTER_03488,IMPORTER_03352,AE,KR,AE,300201,67235.88,2024-03-25
S00000115,EXPORTER_02767,IMPORTER_02661,ES,KR,ES,360001,25920.54,2023-02-24
S00000116,EXPORTER_02621,IMPORTER_02395,SE,BR,SE,340001,67886.32,2023-10-01
S00000117,EXPORTER_02243,IMPORTER_02525,KR,MX,KR,210101,69529.72,2023-06-23
S00000118,EXPORTER_03509,IMPORTER_03269,CA,VN,CA,390002,64823.9,2024-10-09
S00000119,EXPORTER_01370,IMPORTER_00991,IN,BR,IN,370201,54813.06,2024-01-16
S00000120,EXPORTER_01841,IMPORTER_03570,GB,IL,GB,230400,83752.43,2024-05-06
S00000121,EXPORTER_02398,IMPORTER_01678,GB,KR,GB,160301,87456.25,2023-09-21
S00000122,EXPORTER_03586,IMPORTER_00838,KR,MX,KR,470102,50394.47,2024-05-06
S00000123,EXPORTER_02715,IMPORTER_01660,CN,CA,CN,440002,26724.37,2023-12-02
S00000124,EXPORTER_00105,IMPORTER_00704,IL,BR,IL,090100,79934.47,2023-02-23
S00000125,EXPORTER_02575,IMPORTER_00618,DE,IL,DE,150101,87725.05,2024-05-26
S00000126,EXPORTER_00779,IMPORTER_02929,IT,IN,IT,290000,15512.76,2023-08-07
S00000127,EXPORTER_01007,IMPORTER_00085,ES,IT,ES,240402,88979.29,2023-07-11
S00000128,EXPORTER_02359,IMPORTER_02010,BR,JP,BR,490201,27539.16,2024-08-10
S00000129,EXPORTER_01182,IMPORTER_01625,CN,AE,CN,190302,43591.23,2023-11-22
S00000130,EXPORTER_03284,IMPORTER_01240,GB,KR,GB,330102,27211.63,2024-03-13
S00000131,EXPORTER_02126,IMPORTER_00096,AE,BR,AE,280400,71083.17,2024-01-27
S00000132,EXPORTER_01417,IMPORTER_01925,DE,TR,DE,190001,9105.84,2023-12-17
S00000133,EXPORTER_02087,IMPORTER_01411,CN,GB,CN,310401,37665.75,2023-04-22
S00000134,EXPORTER_03575,IMPORTER_02159,JP,DE,JP,090001,56211.68,2024-05-02
S00000135,EXPORTER_03348,IMPORTER_03165,VN,AE,VN,230002,22228.11,2023-10-20
S00000136,EXPORTER_03280,IMPORTER_02247,DE,BR,DE,330302,20475.72,2023-02-01
S00000137,EXPORTER_00007,IMPORTER_00530,JP,IN,JP,140400,52750.42,2023-10-05
S00000138,EXPORTER_02116,IMPORTER_01441,CA,IL,CA,280300,74212.96,2023-05-27
S00000139,EXPORTER_02261,IMPORTER_00721,CA,US,CA,160401,68874.18,2024-06-28
S00000140,EXPORTER_01278,IMPORTER_00081,DE,TR,DE,300301,22220.95,2024-07-18
S00000141,EXPORTER_02600,IMPORTER_02293,SG,BR,SG,160401,49658.89,2023-07-21
S00000142,EXPORTER_00306,IMPORTER_02975,NL,GB,NL,230000,48742.66,2024-06-29
S00000143,EXPORTER_00397,IMPORTER_03955,SG,DE,SG,090401,89246.11,2023-11-23
S00000144,EXPORTER_03589,IMPORTER_00145,FR,GB,FR,280402,66634.59,2023-08-07
S00000145,EXPORTER_03253,IMPORTER_03758,VN,JP,VN,170300,50421.05,2023-08-18
S00000146,EXPORTER_02543,IMPORTER_01292,IN,MX,IN,170100,71373.82,2024-05-02
S00000147,EXPORTER_01329,IMPORTER_03315,DE,CN,DE,050201,86163.04,2024-12-31
S00000148,EXPORTER_01824,IMPORTER_00337,US,IL,US,080300,89382.92,2024-07-29
S00000149,EXPORTER_03580,IMPORTER_03157,IN,NL,IN,430301,40508.76,2024-04-11
S00000150,EXPORTER_01673,IMPORTER_02902,CA,US,CA,460301,289.82,2023-11-19
S00000151,EXPORTER_00956,IMPORTER_01402,SE,US,SE,330300,12484.94,2023-09-14
S00000152,EXPORTER_00342,IMPORTER_03487,KR,MX,KR,100302,39459.53,2024-02-23
S00000153,EXPORTER_02031,IMPORTER_01467,US,DE,US,490200,12004.85,2023-08-16
S00000154,EXPORTER_00062,IMPORTER_01018,VN,CN,VN,160301,62609.8,2024-12-28
S00000155,EXPORTER_01071,IMPORTER_03349,IT,NL,IT,470301,84006.6,2023-10-09
S00000156,EXPORTER_03323,IMPORTER_02018,FR,IT,FR,040201,79188.98,2023-10-04
S00000157,EXPORTER_01282,IMPORTER_01978,TR,US,TR,420302,54154.89,2024-03-24
S00000158,EXPORTER_03099,IMPORTER_01309,JP,CA,JP,200300,58881.71,2023-03-16
S00000159,EXPORTER_01163,IMPORTER_02974,AE,CA,AE,430402,86240.45,2024-10-08
S00000160,EXPORTER_00164,IMPORTER_01587,FR,IL,FR,130402,18282.43,2023-02-06
S00000161,EXPORTER_02823,IMPORTER_03981,JP,GB,JP,430400,48331.33,2023-09-26
S00000162,EXPORTER_01063,IMPORTER_03828,CA,BR,CA,130100,78024.04,2023-07-26
S00000163,EXPORTER_01815,IMPORTER_02272,TR,KR,TR,060201,12841.11,2023-04-14
S00000164,EXPORTER_01780,IMPORTER_01910,CN,IT,CN,280202,6532.24,2024-01-12
S00000165,EXPORTER_02052,IMPORTER_00022,SG,CN,SG,270202,52704.22,2024-02-02
S00000166,EXPORTER_03731,IMPORTER_00925,SG,BR,SG,450200,46677.75,2024-07-02
S00000167,EXPORTER_01047,IMPORTER_01306,FR,AE,FR,030301,15962.57,2024-06-08
S00000168,EXPORTER_03092,IMPORTER_02431,KR,BR,KR,310102,55660.26,2023-02-05
S00000169,EXPORTER_00304,IMPORTER_02239,JP,ES,JP,030100,15596.04,2023-05-21
S00000170,EXPORTER_03280,IMPORTER_03571,VN,BR,VN,390101,31389.02,2023-04-29
S00000171,EXPORTER_02433,IMPORTER_00933,AE,SG,AE,300001,66195.95,2023-11-09
S00000172,EXPORTER_01556,IMPORTER_00752,GB,BR,GB,410400,81982.89,2024-01-13
S00000173,EXPORTER_01097,IMPORTER_03252,FR,MX,FR,140300,30710.47,2024-10-19
S00000174,EXPORTER_03039,IMPORTER_01295,IT,AE,IT,300102,69213.96,2024-06-02
S00000175,EXPORTER_03941,IMPORTER_03777,GB,FR,GB,450302,50122.34,2023-07-05
S00000176,EXPORTER_01654,IMPORTER_01143,FR,IN,FR,160001,83541.55,2023-05-09
S00000177,EXPORTER_01674,IMPORTER_00889,SG,DE,SG,300300,18881.93,2024-03-31
S00000178,EXPORTER_02598,IMPORTER_00665,AE,CN,AE,010201,2179.73,2024-09-08
S00000179,EXPORTER_01793,IMPORTER_03797,CA,SG,CA,090301,76317.78,2023-10-04
S00000180,EXPORTER_00973,IMPORTER_00746,ES,BR,ES,090301,63667.93,2024-11-03
S00000181,EXPORTER_03473,IMPORTER_02974,ES,BR,ES,210002,59627.25,2023-10-18
S00000182,EXPORTER_02021,IMPORTER_02486,IN,IN,IN,190000,2458.42,2024-10-27
S00000183,EXPORTER_01104,IMPORTER_03950,SE,IN,SE,350201,25394.72,2024-05-14
S00000184,EXPORTER_02547,IMPORTER_02548,KR,SE,KR,150400,35050.54,2023-05-23
S00000185,EXPORTER_02262,IMPORTER_00279,GB,JP,GB,170101,28305.93,2024-08-14
S00000186,EXPORTER_01349,IMPORTER_01731,ES,IN,ES,120301,86566.24,2023-07-31
S00000187,EXPORTER_03689,IMPORTER_03119,MX,US,MX,210201,63504.15,2023-09-28
S00000188,EXPORTER_03465,IMPORTER_01924,CN,IN,CN,160200,6127.91,2023-07-11
S00000189,EXPORTER_03279,IMPORTER_01031,MX,KR,MX,170200,61676.73,2023-10-27
S00000190,EXPORTER_00884,IMPORTER_02596,DE,ES,DE,370102,7192.15,2023-02-22
S00000191,EXPORTER_03948,IMPORTER_00797,SG,JP,SG,430002,35587.85,2024-06-09
S00000192,EXPORTER_02774,IMPORTER_01596,KR,AE,KR,030101,79630.87,2023-07-03
S00000193,EXPORTER_02788,IMPORTER_02941,CN,GB,CN,250000,14430.54,2023-01-29
S00000194,EXPORTER_02754,IMPORTER_03597,AE,MX,AE,090402,49187.72,2024-06-21
S00000195,EXPORTER_03508,IMPORTER_02148,NL,SG,NL,190100,50257.51,2023-12-03
S00000196,EXPORTER_03156,IMPORTER_00450,TR,NL,TR,330002,45515.15,2024-06-27
S00000197,EXPORTER_02867,IMPORTER_03964,KR,ES,KR,240300,28979.74,2023-01-23
S00000198,EXPORTER_01127,IMPORTER_03984,DE,MX,DE,290101,7979.48,2023-07-26
S00000199,EXPORTER_00346,IMPORTER_01750,BR,ES,BR,470001,7181.35,2023-11-23
S00000200,EXPORTER_03300,IMPORTER_02256,IL,FR,IL,320001,56424.13,2024-03-25
S00000201,EXPORTER_02091,IMPORTER_01644,BR,NL,BR,280300,19841.23,2024-12-22
S00000202,EXPORTER_03703,IMPORTER_00281,CN,TR,CN,010101,80955.5,2023-06-26
S00000203,EXPORTER_00177,IMPORTER_01053,KR,FR,KR,030402,589.77,2024-05-23
S00000204,EXPORTER_02314,IMPORTER_01163,BR,SE,BR,400401,55259.47,2023-07-19
S00000205,EXPORTER_00594,IMPORTER_00762,KR,US,KR,080200,74219.11,2023-06-15
S00000206,EXPORTER_00428,IMPORTER_02081,SE,TR,SE,070001,85665.37,2023-09-06
S00000207,EXPORTER_00654,IMPORTER_01728,DE,VN,DE,270202,17857.52,2023-05-27
S00000208,EXPORTER_01305,IMPORTER_03800,US,ES,US,490400,16853.83,2024-01-07
S00000209,EXPORTER_03791,IMPORTER_00800,CA,SE,CA,270200,89418.82,2024-12-14
S00000210,EXPORTER_02481,IMPORTER_01715,IL,SG,IL,280102,9810.76,2023-10-08
S00000211,EXPORTER_01206,IMPORTER_02266,JP,KR,JP,330401,67207.37,2024-03-07
S00000212,EXPORTER_02590,IMPORTER_01242,BR,KR,BR,070201,2831.83,2024-01-28
S00000213,EXPORTER_00831,IMPORTER_00387,DE,CN,DE,400300,26535.07,2024-06-25
S00000214,EXPORTER_02045,IMPORTER_01151,FR,JP,FR,020400,22214.0,2024-01-12
S00000215,EXPORTER_00266,IMPORTER_00388,AE,US,AE,340402,72359.25,2024-12-30
S00000216,EXPORTER_03484,IMPORTER_03664,US,IN,US,180400,58562.81,2024-11-10
S00000217,EXPORTER_03844,IMPORTER_01363,ES,CA,ES,390102,75227.95,2023-06-23
S00000218,EXPORTER_02319,IMPORTER_01541,CN,DE,CN,310001,14171.14,2023-11-06
S00000219,EXPORTER_03890,IMPORTER_00644,NL,JP,NL,210000,45429.24,2023-11-09
S00000220,EXPORTER_00684,IMPORTER_01072,IT,IT,IT,370102,19934.83,2024-07-28
S00000221,EXPORTER_01949,IMPORTER_02883,AE,US,AE,490200,21860.02,2024-08-15
S00000222,EXPORTER_00865,IMPORTER_03698,BR,JP,BR,190102,29486.53,2023-01-04
S00000223,EXPORTER_03609,IMPORTER_03283,ES,US,ES,030301,8918.76,2023-12-29
S00000224,EXPORTER_01155,IMPORTER_01456,AE,TR,AE,410200,58776.1,2023-12-07
S00000225,EXPORTER_02899,IMPORTER_02222,IT,IN,IT,180200,28181.16,2024-08-30
S00000226,EXPORTER_02244,IMPORTER_03814,GB,KR,GB,060100,71928.0,2023-04-28
S00000227,EXPORTER_03576,IMPORTER_03022,IN,IT,IN,010302,29262.5,2024-05-14
S00000228,EXPORTER_02568,IMPORTER_03197,IN,SE,IN,320301,83918.9,2023-10-06
S00000229,EXPORTER_03033,IMPORTER_00991,CN,SE,CN,490400,63798.9,2024-03-17
S00000230,EXPORTER_03809,IMPORTER_03384,TR,SE,TR,440000,27172.41,2023-04-23
S00000231,EXPORTER_01306,IMPORTER_02276,VN,VN,VN,490001,12705.94,2023-11-10
S00000232,EXPORTER_02237,IMPORTER_03480,IL,CN,IL,370302,77247.06,2024-11-23
S00000233,EXPORTER_01013,IMPORTER_03131,IT,VN,IT,360401,18255.48,2024-12-15
S00000234,EXPORTER_00979,IMPORTER_00955,AE,IN,AE,110200,43939.86,2024-01-27
S00000235,EXPORTER_01560,IMPORTER_00890,CN,IN,CN,360300,25866.22,2024-10-01
S00000236,EXPORTER_03918,IMPORTER_01756,NL,ES,NL,210202,25084.66,2023-01-30
S00000237,EXPORTER_00760,IMPORTER_00054,IN,MX,IN,030401,62347.74,2024-01-22
S00000238,EXPORTER_02607,IMPORTER_03817,FR,AE,FR,160201,88682.36,2023-01-04
S00000239,EXPORTER_02792,IMPORTER_00105,AE,IT,AE,300202,28309.67,2023-01-14
S00000240,EXPORTER_00485,IMPORTER_00901,CN,VN,CN,300301,61537.01,2024-01-31
S00000241,EXPORTER_03852,IMPORTER_01956,BR,DE,BR,460300,45856.69,2023-10-11
S00000242,EXPORTER_03904,IMPORTER_01322,TR,DE,TR,120101,17276.8,2023-01-19
S00000243,EXPORTER_02180,IMPORTER_00399,JP,IT,JP,190201,84675.71,2023-09-22
S00000244,EXPORTER_02584,IMPORTER_02275,CA,IN,CA,460300,65929.56,2023-10-13
S00000245,EXPORTER_03932,IMPORTER_00215,CA,IN,CA,010401,55607.04,2024-04-29
S00000246,EXPORTER_02279,IMPORTER_03595,NL,JP,NL,430302,61664.26,2023-06-04
S00000247,EXPORTER_01788,IMPORTER_03435,AE,DE,AE,060002,58874.76,2024-07-12
S00000248,EXPORTER_03974,IMPORTER_00821,KR,IN,KR,380400,60769.82,2023-03-20
S00000249,EXPORTER_03921,IMPORTER_03764,SG,DE,SG,490300,64399.84,2024-03-20
S00000250,EXPORTER_01141,IMPORTER_02643,MX,DE,MX,150301,84257.98,2024-11-17
S00000251,EXPORTER_02022,IMPORTER_03372,BR,CA,BR,280201,36952.08,2023-08-18
S00000252,EXPORTER_03962,IMPORTER_00774,AE,VN,AE,240000,49211.32,2023-03-18
S00000253,EXPORTER_03208,IMPORTER_00979,CA,JP,CA,130301,34974.97,2024-11-15
S00000254,EXPORTER_02959,IMPORTER_03883,DE,CA,DE,490301,80553.08,2023-12-19
S00000255,EXPORTER_03929,IMPORTER_03716,IN,IL,IN,480302,14821.27,2023-04-27
S00000256,EXPORTER_00402,IMPORTER_00548,AE,DE,AE,110301,6592.62,2024-04-11
S00000257,EXPORTER_01507,IMPORTER_00279,TR,CN,TR,480401,9970.78,2024-11-26
S00000258,EXPORTER_00437,IMPORTER_01642,AE,CN,AE,170200,30324.88,2023-05-24
S00000259,EXPORTER_00318,IMPORTER_01096,VN,CA,VN,040200,20997.29,2023-04-03
S00000260,EXPORTER_02936,IMPORTER_00793,FR,IL,FR,180200,57758.59,2024-05-04
S00000261,EXPORTER_03978,IMPORTER_01656,NL,CN,NL,030000,13357.76,2023-11-08
S00000262,EXPORTER_03804,IMPORTER_00915,TR,KR,TR,240001,72379.58,2023-06-26
S00000263,EXPORTER_00402,IMPORTER_01988,TR,IL,TR,330002,68333.63,2024-07-01
S00000264,EXPORTER_02552,IMPORTER_00083,CA,AE,CA,470302,72942.44,2024-03-19
S00000265,EXPORTER_01408,IMPORTER_02538,DE,IL,DE,450301,32884.97,2024-11-22
S00000266,EXPORTER_01960,IMPORTER_00332,CN,JP,CN,250001,31585.66,2024-07-31
S00000267,EXPORTER_02914,IMPORTER_03268,IN,IT,IN,030100,23885.29,2023-07-07
S00000268,EXPORTER_00547,IMPORTER_00266,SE,JP,SE,180100,9002.74,2023-09-15
S00000269,EXPORTER_01837,IMPORTER_03137,JP,AE,JP,250001,50318.03,2024-03-22
S00000270,EXPORTER_02675,IMPORTER_03563,CN,KR,CN,160401,64641.35,2024-04-23
S00000271,EXPORTER_02608,IMPORTER_01316,CN,ES,CN,090201,36413.57,2023-05-18
S00000272,EXPORTER_02724,IMPORTER_03193,FR,GB,FR,010301,2307.12,2024-06-09
S00000273,EXPORTER_00198,IMPORTER_02018,SE,IL,SE,480202,58327.85,2023-01-09
S00000274,EXPORTER_01755,IMPORTER_00828,DE,BR,DE,310201,5367.11,2024-02-15
S00000275,EXPORTER_03368,IMPORTER_03640,KR,BR,KR,130300,80483.6,2023-11-17
S00000276,EXPORTER_02454,IMPORTER_00685,IL,BR,IL,450000,73508.97,2023-10-23
S00000277,EXPORTER_02219,IMPORTER_01324,BR,SG,BR,290300,48382.35,2023-04-30
S00000278,EXPORTER_02507,IMPORTER_03707,CA,US,CA,300101,78059.7,2024-04-17
S00000279,EXPORTER_00580,IMPORTER_02640,IL,BR,IL,230402,54458.41,2024-01-31
S00000280,EXPORTER_02967,IMPORTER_03136,IT,ES,IT,200302,85073.81,2024-01-12
S00000281,EXPORTER_03777,IMPORTER_03331,IL,CN,IL,230101,699.18,2023-08-03
S00000282,EXPORTER_02543,IMPORTER_02209,CA,IT,CA,020401,61527.98,2023-11-22
S00000283,EXPORTER_00622,IMPORTER_02080,BR,CA,BR,410000,21307.25,2023-03-15
S00000284,EXPORTER_00767,IMPORTER_03810,JP,US,JP,100401,26367.82,2024-03-30
